Sample	TotalAut	TotalX	TotalY	NrAut	NrX	NrY
SAMPLE4	1150639	49704	32670	1708520	30367	25196
SAMPLE8	1150639	49704	32670	8774	156	104
SAMPLE9	1150639	49704	32670	1299329	46274	341
SAMPLE12	1150639	49704	32670	867988	30079	216
SAMPLE13	1150639	49704	32670	541696	19214	122
SAMPLE14	1150639	49704	32670	2386212	41339	33781
SAMPLE15	1150639	49704	32670	412062	7074	6077
SAMPLE17	1150639	49704	32670	1670276	29177	23905
SAMPLE19	1150639	49704	32670	1599366	27127	21984
SAMPLE22	1150639	49704	32670	259069	9302	64
SAMPLE23	1150639	49704	32670	157953	2858	2341
SAMPLE24	1150639	49704	32670	748959	26473	134
SAMPLE26	1150639	49704	32670	1868270	65081	278
SAMPLE27	1150639	49704	32670	1324306	45623	271
SAMPLE28	1150639	49704	32670	1438771	24913	21000
SAMPLE29	1150639	49704	32670	1245641	21670	17917
SAMPLE30	1150639	49704	32670	2041486	35857	29129
SAMPLE33	1150639	49704	32670	226535	7974	42
SAMPLE34	1150639	49704	32670	1860766	65351	478
SAMPLE36	1150639	49704	32670	1645221	57025	408
SAMPLE37	1150639	49704	32670	721822	25332	172
SAMPLE38	1150639	49704	32670	1077050	37197	146
SAMPLE39	1150639	49704	32670	1067060	36452	143
SAMPLE41	1150639	49704	32670	1920119	66120	499
SAMPLE42	1150639	49704	32670	1651376	28945	23543
SAMPLE43	1150639	49704	32670	28660	999	41
SAMPLE44	1150639	49704	32670	906894	16610	12644
SAMPLE47	1150639	49704	32670	1513927	55176	227
SAMPLE48	1150639	49704	32670	776236	13586	11116
SAMPLE49	1150639	49704	32670	25768	478	380
SAMPLE51	1150639	49704	32670	741464	12317	9946
SAMPLE52	1150639	49704	32670	148451	2679	2103
SAMPLE54	1150639	49704	32670	1478802	26210	21275
SAMPLE56	1150639	49704	32670	541990	20119	104
SAMPLE57	1150639	49704	32670	1033086	18847	15827
